pc vector number	1	2	3	4	5	6
sample1	-0.253423415322	0.307931001129	8.9558731901e-17	0.0346752983074	0.0119815914754	-5.51249292952e-09
sample2	-0.308810356617	0.0505378167691	-3.70472862512e-17	-0.0594927305127	-0.0332804569862	-5.51249292952e-09
sample3	-0.284107858215	-0.175400442047	-0.125	0.0204283145248	0.00677030100338	-5.51249292952e-09
sample4	-0.284107858215	-0.175400442047	0.125	0.0204283145248	0.00677030100338	-5.51249292952e-09
sample5	0.436668820945	0.00272992633048	7.85214555479e-17	-0.0511486944045	0.0341348556071	-5.51249292952e-09
sample6	0.693780667423	-0.0103978601337	1.1166870108e-17	0.0351094975602	-0.026376592103	-5.51249292952e-09


eigvals	0.993033087662	0.159021770514	0.03125	-0.00942525912344	0.00320373428113	1.82325469788e-16
% variation explained	83.0341148342	13.2968700822	2.61302077525	0.788108732852	0.267885575519	1.52454476932e-14
