pc vector number	1	2	3	4	5	6
sample1	-0.258601163732	0.416560246237	-0.00221439729878	0.00563814665999	-0.0517051083452	5.23431971668e-09
sample2	-0.348043091232	-0.00175474074424	0.00123458332877	-0.00418384683904	0.15452133576	5.23431971668e-09
sample3	-0.309079513714	-0.198015374403	-0.245728093855	0.00340168035732	-0.0554227023992	5.23431971668e-09
sample4	-0.310401329606	-0.193722896222	0.246231012518	-0.000914275860852	-0.0566217073519	5.23431971668e-09
sample5	0.604860764081	-0.00662960375092	-0.0025408100552	-0.196195697194	0.00180043355709	5.23431971668e-09
sample6	0.621264334203	-0.0164376311172	0.00301770536173	0.192253992877	0.00742774877957	5.23431971668e-09


eigvals	1.13171360333	0.250578314244	0.121033997648	0.0755160499763	0.0328863681315	1.64388617379e-16
% variation explained	70.2173920957	15.5471805677	7.50957808116	4.68540810597	2.0404411495	1.01995239507e-14
