	sequences per sample	iteration	sample1	sample2	sample3	sample4	sample5	sample6
alpha_rarefaction_10_0.biom	10	0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.biom	10	1	23.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_2.biom	10	2	55.0	23.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.biom	10	3	55.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_4.biom	10	4	23.0	55.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_5.biom	10	5	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.biom	10	6	55.0	23.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.biom	10	7	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_8.biom	10	8	55.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_9.biom	10	9	23.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_405_0.biom	405	0	218.303571429	371.046875	470.5	441.584415584	500.118421053	525.588235294
alpha_rarefaction_405_1.biom	405	1	207.395833333	341.676056338	480.561643836	474.280487805	532.571428571	467.166666667
alpha_rarefaction_405_2.biom	405	2	227.622222222	367.789473684	494.702702703	404.411764706	453.0	440.584415584
alpha_rarefaction_405_3.biom	405	3	205.936170213	319.222222222	551.095238095	426.0	483.985915493	464.987012987
alpha_rarefaction_405_4.biom	405	4	216.142857143	354.0	490.333333333	453.181818182	473.68	499.23880597
alpha_rarefaction_405_5.biom	405	5	211.75	321.397058824	454.578947368	464.25	441.438356164	429.037974684
alpha_rarefaction_405_6.biom	405	6	213.386363636	319.763157895	452.256097561	417.337349398	445.213333333	452.0
alpha_rarefaction_405_7.biom	405	7	220.763157895	355.039473684	440.0	502.526315789	502.901408451	467.418918919
alpha_rarefaction_405_8.biom	405	8	199.294117647	347.915492958	398.619047619	505.661764706	479.0	472.785714286
alpha_rarefaction_405_9.biom	405	9	197.0	346.820895522	460.679012346	547.158730159	392.677419355	523.076923077
alpha_rarefaction_800_0.biom	800	0	215.756756757	333.358695652	461.5	458.00729927	464.04137931	485.625
alpha_rarefaction_800_1.biom	800	1	214.153846154	349.511627907	494.298387097	516.060344828	461.96	481.798165138
alpha_rarefaction_800_2.biom	800	2	210.468085106	346.368421053	449.607142857	481.917910448	458.611940299	480.65625
alpha_rarefaction_800_3.biom	800	3	221.025641026	323.720930233	451.02189781	467.0	456.712121212	495.024193548
alpha_rarefaction_800_4.biom	800	4	208.538461538	345.9	450.045801527	475.568493151	470.452380952	455.244897959
alpha_rarefaction_800_5.biom	800	5	231.666666667	352.571428571	456.110169492	475.69047619	475.37704918	468.916030534
alpha_rarefaction_800_6.biom	800	6	212.108695652	344.395604396	470.6953125	456.279069767	471.949579832	470.8359375
alpha_rarefaction_800_7.biom	800	7	226.073170732	343.769230769	487.931034483	441.892857143	484.548387097	499.675
alpha_rarefaction_800_8.biom	800	8	232.076923077	338.431578947	484.917910448	483.468085106	463.570247934	483.964788732
alpha_rarefaction_800_9.biom	800	9	229.794117647	350.114942529	451.007194245	462.764705882	450.2	477.125
alpha_rarefaction_1195_0.biom	1195	0	227.111111111	335.974683544	466.12195122	475.061946903	496.179487179	495.527272727
alpha_rarefaction_1195_1.biom	1195	1	216.28125	344.75	473.272727273	486.56122449	488.147286822	475.342592593
alpha_rarefaction_1195_2.biom	1195	2	216.444444444	340.059701493	461.11627907	478.162393162	482.137931034	459.045454545
alpha_rarefaction_1195_3.biom	1195	3	222.666666667	351.238095238	480.573770492	473.774193548	463.782608696	463.927927928
alpha_rarefaction_1195_4.biom	1195	4	225.833333333	357.85	473.905511811	473.310344828	468.024390244	467.72
alpha_rarefaction_1195_5.biom	1195	5	224.2	344.202702703	474.88372093	460.207407407	465.079365079	467.870967742
alpha_rarefaction_1195_6.biom	1195	6	221.428571429	348.068965517	472.43902439	485.573913043	462.065693431	478.573770492
alpha_rarefaction_1195_7.biom	1195	7	220.888888889	350.081967213	465.717948718	457.360902256	478.007518797	467.776923077
alpha_rarefaction_1195_8.biom	1195	8	220.625	346.253521127	473.2	485.544715447	472.65	467.099173554
alpha_rarefaction_1195_9.biom	1195	9	224.666666667	341.718309859	475.959016393	473.2	465.11023622	475.330645161
alpha_rarefaction_1590_0.biom	1590	0	224.666666667	343.8125	474.597826087	463.896551724	470.643564356	463.284090909
alpha_rarefaction_1590_1.biom	1590	1	224.333333333	342.775510204	465.03	467.879518072	469.782608696	470.935897436
alpha_rarefaction_1590_2.biom	1590	2	221.272727273	345.894736842	472.878787879	465.28	465.510638298	466.121212121
alpha_rarefaction_1590_3.biom	1590	3	221.4	345.685185185	477.895348837	472.759036145	478.851851852	470.611111111
alpha_rarefaction_1590_4.biom	1590	4	221.8125	341.523809524	474.347826087	473.25	468.379310345	471.421052632
alpha_rarefaction_1590_5.biom	1590	5	220.235294118	348.272727273	471.3125	457.466019417	471.670103093	469.363636364
alpha_rarefaction_1590_6.biom	1590	6	221.0	344.637931034	463.735849057	477.639534884	468.759036145	476.967741935
alpha_rarefaction_1590_7.biom	1590	7	224.055555556	346.882352941	478.727272727	473.655172414	470.531914894	475.284090909
alpha_rarefaction_1590_8.biom	1590	8	222.333333333	337.518518519	472.563829787	478.164835165	466.12371134	473.919191919
alpha_rarefaction_1590_9.biom	1590	9	220.75	346.818181818	472.178571429	472.5625	475.5	467.5625
alpha_rarefaction_1985_0.biom	1985	0	222.214285714	345.5	465.803278689	464.960784314	471.882352941	469.0
alpha_rarefaction_1985_1.biom	1985	1	221.588235294	346.551724138	469.5	464.220338983	465.818181818	469.660377358
alpha_rarefaction_1985_2.biom	1985	2	221.230769231	343.291666667	468.953125	465.5	468.807692308	468.671875
alpha_rarefaction_1985_3.biom	1985	3	222.230769231	346.619047619	466.397058824	472.185185185	471.632653061	468.458333333
alpha_rarefaction_1985_4.biom	1985	4	221.714285714	342.777777778	465.842105263	465.230769231	473.881355932	469.28125
alpha_rarefaction_1985_5.biom	1985	5	222.75	342.0	466.888888889	464.489795918	467.380952381	469.015873016
alpha_rarefaction_1985_6.biom	1985	6	222.214285714	345.2	466.416666667	469.524590164	469.632653061	466.803278689
alpha_rarefaction_1985_7.biom	1985	7	222.833333333	350.230769231	472.288135593	463.593220339	471.75	470.246153846
alpha_rarefaction_1985_8.biom	1985	8	223.333333333	346.129032258	467.660377358	470.85	468.015873016	469.850746269
alpha_rarefaction_1985_9.biom	1985	9	223.0	344.75	467.75862069	467.714285714	469.631578947	469.803278689
