	sequences per sample	iteration	sample1	sample2	sample3	sample4	sample5	sample6
alpha_rarefaction_10_0.biom	10	0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_1.biom	10	1	9.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_2.biom	10	2	10.0	9.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_3.biom	10	3	10.0	10.0	10.0	9.0	10.0	10.0
alpha_rarefaction_10_4.biom	10	4	9.0	10.0	10.0	10.0	9.0	10.0
alpha_rarefaction_10_5.biom	10	5	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_6.biom	10	6	10.0	9.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_7.biom	10	7	10.0	10.0	10.0	10.0	10.0	9.0
alpha_rarefaction_10_8.biom	10	8	10.0	10.0	10.0	9.0	10.0	10.0
alpha_rarefaction_10_9.biom	10	9	9.0	10.0	9.0	10.0	10.0	10.0
alpha_rarefaction_405_0.biom	405	0	180.0	238.0	278.0	268.0	281.0	278.0
alpha_rarefaction_405_1.biom	405	1	168.0	236.0	272.0	280.0	274.0	270.0
alpha_rarefaction_405_2.biom	405	2	177.0	247.0	277.0	264.0	271.0	267.0
alpha_rarefaction_405_3.biom	405	3	167.0	234.0	278.0	265.0	272.0	274.0
alpha_rarefaction_405_4.biom	405	4	175.0	231.0	274.0	271.0	273.0	272.0
alpha_rarefaction_405_5.biom	405	5	166.0	225.0	270.0	273.0	265.0	266.0
alpha_rarefaction_405_6.biom	405	6	169.0	232.0	275.0	266.0	267.0	279.0
alpha_rarefaction_405_7.biom	405	7	171.0	243.0	273.0	281.0	276.0	271.0
alpha_rarefaction_405_8.biom	405	8	168.0	237.0	262.0	274.0	276.0	281.0
alpha_rarefaction_405_9.biom	405	9	170.0	233.0	277.0	277.0	266.0	288.0
alpha_rarefaction_800_0.biom	800	0	204.0	304.0	390.0	388.0	395.0	399.0
alpha_rarefaction_800_1.biom	800	1	203.0	305.0	393.0	398.0	383.0	382.0
alpha_rarefaction_800_2.biom	800	2	203.0	296.0	385.0	394.0	386.0	391.0
alpha_rarefaction_800_3.biom	800	3	200.0	294.0	385.0	395.0	383.0	395.0
alpha_rarefaction_800_4.biom	800	4	195.0	309.0	381.0	398.0	391.0	390.0
alpha_rarefaction_800_5.biom	800	5	203.0	307.0	376.0	387.0	385.0	387.0
alpha_rarefaction_800_6.biom	800	6	202.0	307.0	388.0	383.0	383.0	387.0
alpha_rarefaction_800_7.biom	800	7	208.0	298.0	389.0	382.0	392.0	391.0
alpha_rarefaction_800_8.biom	800	8	210.0	306.0	397.0	401.0	382.0	401.0
alpha_rarefaction_800_9.biom	800	9	208.0	311.0	383.0	386.0	389.0	384.0
alpha_rarefaction_1195_0.biom	1195	0	216.0	328.0	435.0	433.0	444.0	443.0
alpha_rarefaction_1195_1.biom	1195	1	213.0	331.0	438.0	434.0	449.0	434.0
alpha_rarefaction_1195_2.biom	1195	2	212.0	329.0	436.0	440.0	442.0	432.0
alpha_rarefaction_1195_3.biom	1195	3	217.0	331.0	440.0	437.0	432.0	431.0
alpha_rarefaction_1195_4.biom	1195	4	215.0	334.0	438.0	434.0	439.0	432.0
alpha_rarefaction_1195_5.biom	1195	5	215.0	332.0	441.0	435.0	434.0	437.0
alpha_rarefaction_1195_6.biom	1195	6	218.0	331.0	433.0	439.0	439.0	438.0
alpha_rarefaction_1195_7.biom	1195	7	217.0	330.0	433.0	433.0	443.0	439.0
alpha_rarefaction_1195_8.biom	1195	8	211.0	329.0	441.0	442.0	437.0	434.0
alpha_rarefaction_1195_9.biom	1195	9	217.0	329.0	437.0	441.0	437.0	437.0
alpha_rarefaction_1590_0.biom	1590	0	221.0	339.0	456.0	452.0	459.0	451.0
alpha_rarefaction_1590_1.biom	1590	1	220.0	340.0	456.0	457.0	457.0	449.0
alpha_rarefaction_1590_2.biom	1590	2	220.0	338.0	461.0	454.0	453.0	457.0
alpha_rarefaction_1590_3.biom	1590	3	220.0	341.0	458.0	458.0	457.0	457.0
alpha_rarefaction_1590_4.biom	1590	4	219.0	337.0	457.0	461.0	457.0	458.0
alpha_rarefaction_1590_5.biom	1590	5	219.0	342.0	461.0	451.0	458.0	456.0
alpha_rarefaction_1590_6.biom	1590	6	220.0	342.0	456.0	461.0	454.0	461.0
alpha_rarefaction_1590_7.biom	1590	7	221.0	340.0	458.0	459.0	460.0	463.0
alpha_rarefaction_1590_8.biom	1590	8	221.0	337.0	459.0	460.0	454.0	460.0
alpha_rarefaction_1590_9.biom	1590	9	219.0	343.0	457.0	454.0	463.0	449.0
alpha_rarefaction_1985_0.biom	1985	0	222.0	343.0	463.0	460.0	466.0	464.0
alpha_rarefaction_1985_1.biom	1985	1	221.0	345.0	466.0	461.0	462.0	464.0
alpha_rarefaction_1985_2.biom	1985	2	221.0	341.0	465.0	462.0	461.0	466.0
alpha_rarefaction_1985_3.biom	1985	3	222.0	344.0	463.0	463.0	465.0	467.0
alpha_rarefaction_1985_4.biom	1985	4	221.0	342.0	461.0	462.0	467.0	466.0
alpha_rarefaction_1985_5.biom	1985	5	222.0	341.0	463.0	461.0	463.0	465.0
alpha_rarefaction_1985_6.biom	1985	6	222.0	343.0	461.0	465.0	464.0	464.0
alpha_rarefaction_1985_7.biom	1985	7	222.0	345.0	468.0	461.0	465.0	466.0
alpha_rarefaction_1985_8.biom	1985	8	221.0	344.0	462.0	467.0	465.0	465.0
alpha_rarefaction_1985_9.biom	1985	9	222.0	342.0	463.0	463.0	463.0	467.0
alpha_rarefaction_2380_0.biom	2380	0	222.0	345.0	468.0	469.0	468.0	465.0
alpha_rarefaction_2380_1.biom	2380	1	222.0	345.0	466.0	467.0	468.0	466.0
alpha_rarefaction_2380_2.biom	2380	2	222.0	344.0	468.0	468.0	464.0	469.0
alpha_rarefaction_2380_3.biom	2380	3	222.0	344.0	467.0	468.0	468.0	467.0
alpha_rarefaction_2380_4.biom	2380	4	222.0	344.0	467.0	469.0	468.0	467.0
alpha_rarefaction_2380_5.biom	2380	5	222.0	345.0	468.0	467.0	469.0	468.0
alpha_rarefaction_2380_6.biom	2380	6	222.0	344.0	467.0	468.0	468.0	469.0
alpha_rarefaction_2380_7.biom	2380	7	222.0	345.0	466.0	468.0	468.0	469.0
alpha_rarefaction_2380_8.biom	2380	8	222.0	343.0	468.0	467.0	468.0	467.0
alpha_rarefaction_2380_9.biom	2380	9	222.0	344.0	469.0	467.0	468.0	469.0
